area,admin_area,id,demographic_id,age,education,gender,ethnicity,family_ratio,income,in_household,household_id,relationship
d1,a0,d1_461,farmer_agricultural,50,0,1,0,0.75,29412,True,d1_hh0,head
d1,a0,d1_134,rural_worker,55,1,0,0,0.7,25648,True,d1_hh0,partner
d1,a0,d1_420,working_class,58,2,0,0,0.65,32366,True,d1_hh1,head
d1,a0,d1_106,retired,79,1,1,0,0.3,29823,True,d1_hh1,partner
d1,a0,d1_260,retired,71,2,0,0,0.3,39975,True,d1_hh2,head
d1,a0,d1_101,retired,69,2,1,0,0.3,11471,True,d1_hh2,partner
d1,a0,d1_276,retired,81,-1,0,0,0.3,25959,True,d1_hh3,head
d1,a0,d1_484,working_class,46,2,0,0,0.65,37737,True,d1_hh4,head
d1,a0,d1_325,working_class,36,3,1,0,0.65,22701,True,d1_hh4,partner
d1,a0,d1_161,retired,76,2,1,0,0.3,20295,True,d1_hh5,head
d1,a0,d1_132,retired,78,3,0,0,0.3,27300,True,d1_hh6,head
d1,a0,d1_463,farmer_agricultural,41,1,1,0,0.75,50160,True,d1_hh7,head
d1,a0,d1_274,working_class,35,0,0,0,0.65,11105,True,d1_hh7,partner
d1,a0,d1_490,rural_worker,47,2,1,0,0.7,21906,True,d1_hh8,head
d1,a0,d1_477,farmer_agricultural,40,1,0,0,0.75,3468,True,d1_hh8,partner
d1,a0,d1_34,farmer_agricultural,47,2,1,0,0.75,13995,True,d1_hh9,head
d1,a0,d1_358,working_class,37,2,1,0,0.65,36552,True,d1_hh9,partner
d1,a0,d1_262,working_class,48,2,1,0,0.65,17340,True,d1_hh10,head
d1,a0,d1_422,middle_class,36,5,0,0,0.7,45802,True,d1_hh10,partner
d1,a0,d1_344,middle_class,39,5,1,0,0.7,31664,True,d1_hh11,head
d1,a0,d1_419,farmer_agricultural,51,3,1,0,0.75,20766,True,d1_hh12,head
d1,a0,d1_125,farmer_agricultural,79,1,0,0,0.75,-2052,True,d1_hh12,partner
d1,a0,d1_438,farmer_agricultural,58,3,1,0,0.75,24955,True,d1_hh13,head
d1,a0,d1_342,retired,54,2,0,0,0.3,21953,True,d1_hh13,partner
d1,a0,d1_314,retired,75,4,0,0,0.3,24893,True,d1_hh13,partner
d1,a0,d1_398,retired,87,5,0,0,0.3,9720,True,d1_hh13,partner
d1,a0,d1_73,working_class,40,2,0,0,0.65,27939,True,d1_hh14,head
d1,a0,d1_296,farmer_agricultural,21,0,1,0,0.75,15504,True,d1_hh15,head
d1,a0,d1_104,rural_worker,65,2,0,0,0.7,27795,True,d1_hh15,partner
d1,a0,d1_370,rural_worker,62,1,1,0,0.7,13934,True,d1_hh16,head
d1,a0,d1_266,farmer_agricultural,64,2,1,0,0.75,15324,True,d1_hh16,partner
d1,a0,d1_354,retired,68,4,0,0,0.3,15556,True,d1_hh17,head
d1,a0,d1_475,rural_worker,35,2,0,0,0.7,28448,True,d1_hh18,head
d1,a0,d1_390,rural_worker,33,0,1,0,0.7,21181,True,d1_hh18,partner
d1,a0,d1_378,working_class,46,4,1,0,0.65,26493,True,d1_hh19,head
d1,a0,d1_200,rural_worker,51,1,0,0,0.7,30921,True,d1_hh19,partner
d1,a0,d1_195,farmer_agricultural,75,0,0,0,0.75,15438,True,d1_hh20,head
d1,a0,d1_177,working_class,37,1,0,0,0.65,29618,True,d1_hh20,partner
d1,a0,d1_446,retired,93,2,1,0,0.3,14021,True,d1_hh20,partner
d1,a0,d1_184,rural_worker,49,3,0,0,0.7,21390,True,d1_hh21,head
d1,a0,d1_369,farmer_agricultural,42,3,1,0,0.75,40603,True,d1_hh21,partner
d1,a0,d1_409,rural_worker,39,2,1,0,0.7,25963,True,d1_hh22,head
d1,a0,d1_307,working_class,38,2,1,0,0.65,21428,True,d1_hh22,partner
d1,a0,d1_257,retired,82,3,0,0,0.3,35506,True,d1_hh23,head
d1,a0,d1_456,middle_class,57,5,1,0,0.7,19822,True,d1_hh23,partner
d1,a0,d1_38,rural_worker,46,1,1,0,0.7,23628,True,d1_hh24,head
d1,a0,d1_62,retired,73,0,0,0,0.3,8318,True,d1_hh24,partner
d1,a0,d1_373,middle_class,35,5,0,0,0.7,38037,True,d1_hh25,head
d1,a0,d1_319,retired,89,2,0,0,0.3,26080,True,d1_hh25,partner
d1,a0,d1_435,retired,52,1,0,0,0.3,34329,True,d1_hh26,head
d1,a0,d1_362,working_class,32,0,0,0,0.65,31225,True,d1_hh26,partner
d1,a0,d1_7,farmer_agricultural,43,3,1,0,0.75,25682,True,d1_hh27,head
d1,a0,d1_492,working_class,71,0,0,0,0.65,22874,True,d1_hh27,partner
d1,a0,d1_49,working_class,46,3,0,0,0.65,27256,True,d1_hh28,head
d1,a0,d1_112,retired,66,3,1,0,0.3,33553,True,d1_hh28,partner
d1,a0,d1_166,rural_worker,24,0,1,0,0.7,31547,True,d1_hh29,head
d1,a0,d1_138,working_class,44,2,0,0,0.65,34713,True,d1_hh29,partner
d1,a0,d1_468,farmer_agricultural,45,2,1,0,0.75,31838,True,d1_hh30,head
d1,a0,d1_107,rural_worker,43,2,0,0,0.7,27256,True,d1_hh30,partner
d1,a0,d1_1,affluent_professional,50,4,0,0,0.6,38956,True,d1_hh31,head
d1,a0,d1_122,rural_worker,37,1,1,0,0.7,23416,True,d1_hh31,partner
d1,a0,d1_393,rural_worker,50,0,1,0,0.7,27982,True,d1_hh32,head
d1,a0,d1_216,middle_class,46,3,1,0,0.7,60173,True,d1_hh32,partner
d1,a0,d1_182,retired,73,1,0,0,0.3,29068,True,d1_hh33,head
d1,a0,d1_374,working_class,39,2,1,0,0.65,24526,True,d1_hh34,head
d1,a0,d1_329,retired,74,2,1,0,0.3,17172,True,d1_hh34,partner
d1,a0,d1_346,farmer_agricultural,61,2,0,0,0.75,13678,True,d1_hh35,head
d1,a0,d1_352,retired,73,3,1,0,0.3,23183,True,d1_hh35,partner
d1,a0,d1_124,rural_worker,55,2,1,0,0.7,25878,True,d1_hh36,head
d1,a0,d1_488,retired,79,2,1,0,0.3,9136,True,d1_hh36,partner
d1,a0,d1_303,working_class,36,1,1,0,0.65,29176,True,d1_hh37,head
d1,a0,d1_259,middle_class,48,4,0,0,0.7,22368,True,d1_hh37,partner
d1,a0,d1_228,rural_worker,41,1,1,0,0.7,27535,True,d1_hh38,head
d1,a0,d1_56,affluent_professional,40,6,0,0,0.6,51904,True,d1_hh38,partner
d1,a0,d1_25,working_class,55,1,1,0,0.65,27268,True,d1_hh39,head
d1,a0,d1_367,affluent_professional,47,7,1,0,0.6,75393,True,d1_hh40,head
d1,a0,d1_391,farmer_agricultural,40,1,1,0,0.75,3996,True,d1_hh40,partner
d1,a0,d1_225,farmer_agricultural,56,4,1,0,0.75,34302,True,d1_hh41,head
d1,a0,d1_447,rural_worker,50,2,0,0,0.7,18312,True,d1_hh42,head
d1,a0,d1_455,affluent_professional,45,5,1,0,0.6,91572,True,d1_hh42,partner
d1,a0,d1_443,farmer_agricultural,60,0,1,0,0.75,11878,True,d1_hh43,head
d1,a0,d1_458,farmer_agricultural,51,2,0,0,0.75,36341,True,d1_hh44,head
d1,a0,d1_67,farmer_agricultural,68,2,0,0,0.75,37659,True,d1_hh44,partner
d1,a0,d1_201,working_class,41,1,1,0,0.65,30329,True,d1_hh45,head
d1,a0,d1_140,farmer_agricultural,53,1,0,0,0.75,19083,True,d1_hh45,partner
d1,a0,d1_65,working_class,38,3,1,0,0.65,22843,True,d1_hh46,head
