area,admin_area,id,demographic_id,age,education,gender,ethnicity,family_ratio,income,in_household,household_id,relationship
d1,a0,d1_117,farmer_agricultural,62,1,0,0,0.75,40206,True,d1_hh0,head
d1,a0,d1_224,rural_worker,38,0,1,0,0.7,27850,True,d1_hh0,partner
d1,a0,d1_229,working_class,64,1,1,0,0.65,22601,True,d1_hh1,head
d1,a0,d1_283,affluent_professional,50,6,0,0,0.6,55204,True,d1_hh2,head
d1,a0,d1_408,working_class,38,3,0,0,0.65,31829,True,d1_hh2,partner
d1,a0,d1_70,rural_worker,56,0,0,0,0.7,22214,True,d1_hh3,head
d1,a0,d1_89,middle_class,48,4,0,0,0.7,38001,True,d1_hh4,head
d1,a0,d1_98,retired,70,3,1,0,0.3,24959,True,d1_hh4,partner
d1,a0,d1_141,working_class,31,1,0,0,0.65,23135,True,d1_hh5,head
d1,a0,d1_435,farmer_agricultural,22,1,0,0,0.75,46493,True,d1_hh5,partner
d1,a0,d1_2,rural_worker,47,1,1,0,0.7,21882,True,d1_hh6,head
d1,a0,d1_128,middle_class,28,3,1,0,0.7,43275,True,d1_hh6,partner
d1,a0,d1_344,farmer_agricultural,45,2,1,0,0.75,20081,True,d1_hh7,head
d1,a0,d1_139,working_class,62,2,0,0,0.65,36828,True,d1_hh7,partner
d1,a0,d1_492,farmer_agricultural,47,3,1,0,0.75,34749,True,d1_hh8,head
d1,a0,d1_446,retired,70,1,0,0,0.3,26277,True,d1_hh8,partner
d1,a0,d1_495,middle_class,31,4,0,0,0.7,40144,True,d1_hh9,head
d1,a0,d1_423,farmer_agricultural,59,3,1,0,0.75,49740,True,d1_hh9,partner
d1,a0,d1_362,farmer_agricultural,35,0,0,0,0.75,37798,True,d1_hh10,head
d1,a0,d1_484,farmer_agricultural,69,1,1,0,0.75,62493,True,d1_hh11,head
d1,a0,d1_125,farmer_agricultural,79,1,1,0,0.75,-2052,True,d1_hh11,partner
d1,a0,d1_119,affluent_professional,44,5,0,0,0.6,62049,True,d1_hh12,head
d1,a0,d1_471,middle_class,36,7,0,0,0.7,49945,True,d1_hh12,partner
d1,a0,d1_489,retired,57,2,1,0,0.3,33250,True,d1_hh13,head
d1,a0,d1_144,retired,70,0,1,0,0.3,31282,True,d1_hh13,partner
d1,a0,d1_269,rural_worker,32,1,1,0,0.7,23520,True,d1_hh14,head
d1,a0,d1_368,retired,63,3,0,0,0.3,8441,True,d1_hh14,partner
d1,a0,d1_101,rural_worker,42,1,1,0,0.7,14629,True,d1_hh15,head
d1,a0,d1_371,middle_class,42,4,0,0,0.7,38947,True,d1_hh15,partner
d1,a0,d1_104,farmer_agricultural,72,2,1,0,0.75,40419,True,d1_hh16,head
d1,a0,d1_38,rural_worker,46,1,0,0,0.7,23628,True,d1_hh16,partner
d1,a0,d1_137,farmer_agricultural,23,1,0,0,0.75,39241,True,d1_hh17,head
d1,a0,d1_276,rural_worker,59,0,1,0,0.7,24771,True,d1_hh17,partner
d1,a0,d1_418,farmer_agricultural,43,1,1,0,0.75,39617,True,d1_hh18,head
d1,a0,d1_126,middle_class,61,3,0,0,0.7,39294,True,d1_hh18,partner
d1,a0,d1_319,middle_class,67,4,1,0,0.7,42896,True,d1_hh19,head
d1,a0,d1_328,working_class,52,3,1,0,0.65,14765,True,d1_hh19,partner
d1,a0,d1_321,working_class,46,2,0,0,0.65,15082,True,d1_hh20,head
d1,a0,d1_451,retired,87,3,0,0,0.3,18237,True,d1_hh20,partner
d1,a0,d1_374,working_class,39,2,1,0,0.65,24526,True,d1_hh21,head
d1,a0,d1_409,affluent_professional,36,7,1,0,0.6,76323,True,d1_hh21,partner
d1,a0,d1_311,farmer_agricultural,71,2,1,0,0.75,36843,True,d1_hh22,head
d1,a0,d1_411,middle_class,45,4,1,0,0.7,28489,True,d1_hh23,head
d1,a0,d1_424,working_class,43,2,1,0,0.65,21011,True,d1_hh23,partner
d1,a0,d1_494,working_class,56,1,0,0,0.65,33024,True,d1_hh24,head
d1,a0,d1_51,retired,68,2,1,0,0.3,39679,True,d1_hh24,partner
d1,a0,d1_419,farmer_agricultural,51,3,0,0,0.75,20766,True,d1_hh25,head
d1,a0,d1_272,retired,68,3,1,0,0.3,24732,True,d1_hh25,partner
d1,a0,d1_107,retired,70,4,1,0,0.3,29508,True,d1_hh26,head
d1,a0,d1_221,working_class,44,2,0,0,0.65,12354,True,d1_hh26,partner
d1,a0,d1_6,middle_class,53,4,0,0,0.7,35781,True,d1_hh27,head
d1,a0,d1_370,rural_worker,62,1,1,0,0.7,13934,True,d1_hh27,partner
d1,a0,d1_93,retired,74,3,1,0,0.3,4554,True,d1_hh28,head
d1,a0,d1_165,farmer_agricultural,63,0,1,0,0.75,22965,True,d1_hh28,partner
d1,a0,d1_433,farmer_agricultural,40,2,0,0,0.75,-3266,True,d1_hh29,head
d1,a0,d1_182,working_class,50,1,0,0,0.65,31654,True,d1_hh30,head
d1,a0,d1_274,farmer_agricultural,38,0,1,0,0.75,72,True,d1_hh30,partner
d1,a0,d1_140,affluent_professional,42,5,1,0,0.6,53111,True,d1_hh31,head
d1,a0,d1_480,rural_worker,30,2,1,0,0.7,20991,True,d1_hh31,partner
d1,a0,d1_76,farmer_agricultural,41,1,0,0,0.75,6048,True,d1_hh32,head
d1,a0,d1_291,working_class,48,0,0,0,0.65,10331,True,d1_hh32,partner
