hh_id,location_urban,location_rural,hh_size1,hh_size2,hh_size3,hh_size4,m_0_to_30,f_0_to_30,m_30_to_60,f_30_to_60,m_gt_60,f_gt_60,edu_non,edu_low,edu_middle,edu_high
d145_hh170,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0
d164_hh263,0,1,0,1,0,0,0,0,0,0,2,0,1,0,1,0
d215_hh187,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,1
d206_hh230,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
d133_hh55,0,1,0,1,0,0,0,0,0,1,1,0,0,2,0,0
d16_hh71,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0
d117_hh214,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0
d100_hh155,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1
d69_hh236,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
d120_hh34,0,1,0,1,0,0,0,0,0,0,2,0,0,0,2,0
d49_hh90,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
d203_hh82,1,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0
d203_hh118,1,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0
d67_hh133,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
d198_hh94,0,1,0,1,0,0,0,0,0,1,1,0,0,2,0,0
d108_hh220,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
d11_hh121,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,1
d76_hh127,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
d86_hh155,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0
d121_hh77,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0
d83_hh284,0,1,0,1,0,0,0,0,1,0,1,0,0,2,0,0
d18_hh223,0,1,0,1,0,0,0,0,0,0,2,0,1,0,1,0
d25_hh109,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0
d177_hh231,0,1,0,1,0,0,0,0,0,2,0,0,1,0,1,0
d31_hh58,0,1,0,0,0,6,0,0,0,1,5,0,0,6,0,0
d79_hh84,1,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0
d141_hh268,0,1,0,1,0,0,0,0,1,1,0,0,0,2,0,0
d55_hh78,0,1,0,1,0,0,0,0,0,2,0,0,0,2,0,0
d89_hh157,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
d154_hh33,0,1,0,1,0,0,0,0,2,0,0,0,1,1,0,0
d133_hh143,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
d98_hh37,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2,0
d2_hh81,0,1,0,1,0,0,0,0,1,1,0,0,0,2,0,0
d143_hh43,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
d100_hh71,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
d72_hh264,0,1,0,0,1,0,0,0,1,0,0,2,0,2,1,0
d79_hh198,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0
d96_hh171,0,1,0,1,0,0,0,0,0,2,0,0,1,1,0,0
d75_hh67,0,1,0,1,0,0,0,0,2,0,0,0,0,1,1,0
d28_hh226,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
d48_hh265,0,1,0,1,0,0,0,0,0,1,0,1,0,0,2,0
d88_hh47,0,1,0,1,0,0,0,0,0,2,0,0,1,1,0,0
d2_hh16,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0
d138_hh231,0,1,0,1,0,0,0,0,2,0,0,0,0,1,1,0
d69_hh206,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,0
d137_hh188,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0
d63_hh69,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0
d195_hh186,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
d72_hh253,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0
d50_hh192,0,1,0,1,0,0,0,0,2,0,0,0,1,0,1,0
d51_hh256,0,1,0,1,0,0,0,0,1,0,0,1,0,2,0,0
d90_hh55,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
