area_id,microdata_id
d22,d76_hh6
d22,d137_hh184
d22,d141_hh153
d22,d78_hh195
d22,d117_hh48
d22,d10_hh140
d22,d67_hh91
d22,d36_hh0
d22,d64_hh222
d22,d134_hh152
d22,d36_hh201
d22,d154_hh48
d22,d95_hh93
d22,d1_hh48
d22,d14_hh153
d22,d38_hh180
d22,d82_hh177
d22,d11_hh1
d22,d141_hh231
d22,d120_hh87
d22,d94_hh253
d22,d196_hh64
d22,d83_hh116
d22,d74_hh195
d22,d116_hh132
d22,d113_hh191
d22,d101_hh193
d22,d59_hh36
d22,d107_hh155
d22,d1_hh220
d22,d128_hh216
d22,d135_hh56
d22,d164_hh35
d22,d20_hh48
d22,d68_hh226
d22,d7_hh203
d22,d76_hh88
d22,d56_hh136
d22,d166_hh238
d22,d202_hh81
d22,d218_hh62
d22,d101_hh58
d22,d216_hh0
d22,d194_hh235
d22,d85_hh212
d22,d85_hh212
d22,d2_hh97
d22,d15_hh165
d22,d1_hh48
d22,d23_hh71
d22,d141_hh231
d22,d65_hh233
d22,d123_hh165
d22,d40_hh99
d22,d167_hh261
d22,d105_hh12
d22,d196_hh32
d22,d156_hh86
d22,d176_hh62
d22,d74_hh182
d22,d43_hh115
d22,d50_hh231
d22,d166_hh177
d22,d36_hh201
d22,d91_hh84
d22,d11_hh197
d22,d1_hh220
d22,d44_hh150
d22,d105_hh131
d22,d32_hh214
d22,d111_hh122
d22,d216_hh0
d22,d99_hh154
d22,d80_hh253
d22,d64_hh20
d22,d37_hh240
d22,d59_hh36
d22,d141_hh153
d22,d11_hh1
d22,d142_hh88
d22,d105_hh12
d22,d147_hh218
d22,d55_hh170
d22,d32_hh100
d22,d155_hh74
d22,d6_hh126
d22,d188_hh54
d22,d50_hh231
d22,d64_hh176
d22,d96_hh221
d22,d83_hh271
d22,d164_hh239
d22,d22_hh231
d22,d146_hh255
d22,d105_hh99
d22,d162_hh130
d22,d136_hh113
d22,d15_hh248
d22,d193_hh61
d22,d66_hh17
d22,d154_hh173
d22,d45_hh137
d22,d33_hh283
d22,d93_hh206
d22,d198_hh5
d22,d176_hh255
d22,d86_hh15
d22,d198_hh24
d22,d22_hh231
d22,d157_hh78
d22,d165_hh181
d22,d216_hh244
d22,d146_hh138
d22,d83_hh116
d22,d196_hh64
d22,d63_hh82
d22,d210_hh258
d22,d163_hh55
d22,d66_hh129
d22,d5_hh45
d22,d156_hh118
d22,d24_hh136
d22,d130_hh27
d22,d146_hh255
d22,d142_hh88
d22,d109_hh201
d22,d162_hh10
d22,d194_hh118
d22,d134_hh27
d22,d166_hh158
d22,d154_hh29
d22,d32_hh106
d22,d42_hh216
d22,d164_hh85
d22,d135_hh56
d22,d191_hh268
d22,d94_hh253
d22,d161_hh210
d22,d178_hh140
d22,d18_hh234
d22,d24_hh185
d22,d86_hh177
d22,d137_hh185
d22,d116_hh202
d22,d216_hh244
d22,d155_hh185
d22,d99_hh154
d22,d64_hh176
d22,d195_hh0
d22,d24_hh151
d22,d68_hh172
d22,d63_hh83
d22,d137_hh185
d22,d32_hh106
d22,d117_hh88
d22,d196_hh32
d22,d10_hh196
d22,d214_hh4
d22,d87_hh282
d22,d187_hh139
d22,d166_hh238
d22,d1_hh32
d22,d1_hh65
d22,d191_hh124
d22,d141_hh153
d22,d76_hh235
d22,d7_hh24
d22,d36_hh0
d22,d94_hh249
d22,d191_hh142
d22,d11_hh93
d22,d101_hh58
d22,d53_hh175
d22,d64_hh168
d22,d94_hh97
d22,d30_hh114
d22,d120_hh163
d22,d128_hh216
d22,d174_hh144
d22,d63_hh82
d22,d1_hh32
d22,d167_hh153
d22,d96_hh221
d22,d8_hh190
d22,d161_hh203
d22,d176_hh22
d22,d116_hh88
d22,d128_hh42
d22,d218_hh72
d22,d218_hh223
d22,d196_hh78
d22,d162_hh78
d22,d167_hh151
d22,d162_hh17
d22,d94_hh197
d22,d68_hh254
d22,d166_hh39
d22,d22_hh251
d22,d37_hh254
d22,d55_hh269
d22,d141_hh153
d22,d22_hh251
d22,d166_hh176
d22,d38_hh32
d22,d34_hh240
d22,d67_hh91
d22,d18_hh234
d22,d143_hh71
d22,d36_hh201
d22,d103_hh132
d22,d209_hh161
d22,d91_hh84
d22,d134_hh203
d22,d67_hh33
d22,d187_hh139
d22,d94_hh239
d22,d1_hh32
d22,d142_hh136
d22,d154_hh29
d22,d116_hh14
d22,d3_hh124
d22,d67_hh91
d22,d183_hh269
d22,d217_hh67
d22,d3_hh143
d22,d103_hh132
d22,d184_hh203
d22,d143_hh237
d22,d190_hh39
d22,d216_hh0
d22,d164_hh35
d22,d167_hh261
d22,d53_hh175
d22,d209_hh161
d22,d101_hh26
d22,d198_hh159
d22,d44_hh264
d22,d143_hh237
d22,d96_hh221
d22,d185_hh251
d22,d101_hh193
d22,d94_hh127
d22,d214_hh260
d22,d191_hh157
d22,d193_hh82
d22,d24_hh185
d22,d216_hh244
d22,d96_hh94
d22,d116_hh246
d22,d165_hh181
d22,d15_hh165
d22,d210_hh200
d22,d14_hh235
d22,d10_hh140
d22,d75_hh153
d22,d195_hh0
d22,d188_hh222
d22,d99_hh136
d22,d176_hh0
d22,d166_hh39
d22,d66_hh129
d22,d40_hh227
d22,d211_hh215
d22,d216_hh244
d22,d32_hh100
d22,d64_hh20
d22,d6_hh126
d24,d176_hh22
d24,d101_hh98
d24,d68_hh254
d24,d183_hh269
d24,d103_hh80
d24,d111_hh122
d24,d136_hh118
d24,d116_hh88
d24,d80_hh253
d24,d74_hh203
d24,d156_hh118
d24,d82_hh40
d24,d42_hh216
d24,d11_hh197
d24,d128_hh216
d24,d103_hh132
d24,d45_hh137
d24,d148_hh143
d24,d52_hh130
d24,d176_hh255
d24,d101_hh98
d24,d59_hh36
d24,d162_hh10
d24,d202_hh255
d24,d68_hh226
d24,d41_hh19
d24,d216_hh164
d24,d10_hh140
d24,d74_hh195
d24,d162_hh64
d24,d24_hh136
d24,d128_hh122
d24,d210_hh200
d24,d210_hh200
